time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-04-02T12:27:09.664Z,61.0061,-150.3286,48.9,2.7,ml,,,,0.65,ak,ak01948cqxpr,2019-04-02T20:25:17.346Z,"33km SW of Anchorage, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2019-04-02T11:31:55.460Z,-6.2707,155.0036,60.82,5,mb,,67,3.502,0.85,us,us2000k93r,2019-04-02T11:50:56.040Z,"53km W of Panguna, Papua New Guinea",earthquake,7.6,6.3,0.036,249,reviewed,us,us
2019-04-02T11:20:26.760Z,59.2238,-153.4872,108.7,2.5,ml,,,,0.55,ak,ak01948c41h5,2019-04-02T11:33:24.023Z,"99km SE of Old Iliamna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-04-02T09:12:38.470Z,18.9595,-67.2661,16,2.81,md,8,301,0.5158,0.48,pr,pr2019092010,2019-04-02T12:05:25.964Z,"54km NNW of San Antonio, Puerto Rico",earthquake,2.32,3.11,0.28,6,reviewed,pr,pr
2019-04-02T08:33:33.360Z,32.2943344,-115.1115036,20.51,3.01,ml,12,224,0.03126,0.2,ci,ci37601970,2019-04-02T21:05:24.982Z,"1km NW of Guadalupe Victoria, B.C., MX",earthquake,1.51,1.28,0.54,3,automatic,ci,ci
2019-04-02T08:32:03.160Z,32.23,-115.0726667,27.58,2.82,ml,16,277,0.07274,0.19,ci,ci37601962,2019-04-02T08:35:53.512Z,"7km SSE of Guadalupe Victoria, B.C., MX",earthquake,1.76,0.61,0.17,26,automatic,ci,ci
2019-04-02T07:42:42.800Z,19.81,-155.3595,33.06,2.75,ml,70,94,0.07915,0.13,hv,hv70887871,2019-04-02T20:17:40.234Z,"26km W of Pepeekeo, Hawaii",earthquake,0.4,0.73,0.196,35,reviewed,hv,hv
2019-04-02T07:41:33.175Z,63.4776,-150.0285,119.9,3.1,ml,,,,0.56,ak,ak019489utix,2019-04-02T07:54:44.393Z,"54km W of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-04-02T07:36:34.080Z,19.2551,-64.436,50,3.03,md,10,343,1.7985,0.32,pr,pr2019092009,2019-04-02T12:05:06.188Z,"94km NNE of Road Town, British Virgin Islands",earthquake,4.57,18.54,0.3,6,reviewed,pr,pr
2019-04-02T07:21:12.620Z,19.576,-64.9753,83,3.84,md,24,222,1.679,0.86,pr,pr2019092005,2019-04-02T09:59:43.040Z,"123km NNW of Road Town, British Virgin Islands",earthquake,7.48,19.72,0.46,14,reviewed,pr,pr
2019-04-02T06:59:01.110Z,19.131834,-155.3906708,38.7,2.82,md,41,182,0.0715,0.26,hv,hv70887836,2019-04-02T20:50:46.640Z,"12km SE of Pahala, Hawaii",other event,0.91,1.81,0.2,28,reviewed,hv,hv
2019-04-02T06:57:24.890Z,19.1124992,-155.4043274,40.66,2.76,md,22,204,0.06933,0.13,hv,hv70887831,2019-04-02T20:50:28.830Z,"12km SE of Pahala, Hawaii",other event,0.77,0.91,0.19,7,reviewed,hv,hv
2019-04-02T03:50:58.440Z,53.9306,169.4268,10,4.2,mb,,152,3.05,0.76,us,us2000k902,2019-04-02T04:12:01.040Z,"262km ESE of Nikol'skoye, Russia",earthquake,10.5,2,0.048,123,reviewed,us,us
2019-04-02T02:44:51.955Z,58.3941,-136.7449,8.5,2.5,ml,,,,0.79,ak,ak019486wc4f,2019-04-02T02:52:12.813Z,"58km W of Gustavus, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-04-02T02:24:40.110Z,18.8726,-64.3736,50,3.17,md,5,347,1.6462,0.42,pr,pr2019092004,2019-04-02T05:00:24.161Z,"56km NNE of Road Town, British Virgin Islands",earthquake,7.94,25.48,0.11,3,reviewed,pr,pr
2019-04-02T01:25:29.570Z,-21.1977,-68.4565,129.15,4.4,mb,,64,0.943,0.88,us,us2000k8y9,2019-04-02T01:35:11.040Z,"148km NNE of Calama, Chile",earthquake,7,4.5,0.144,14,reviewed,us,us
2019-04-02T01:22:48.140Z,-7.2965,114.5721,35,4.9,mww,,50,1.238,1.02,us,us2000k8y8,2019-04-02T03:36:02.045Z,"61km NNE of Sumberanyar, Indonesia",earthquake,6.2,1.9,0.071,19,reviewed,us,us
2019-04-02T00:59:18.954Z,51.4041,177.8919,10,4.3,ml,,,,0.67,ak,ak019485soap,2019-04-02T01:15:31.641Z,"73km SW of Little Sitkin Island, Alaska",earthquake,,0,,,reviewed,ak,ak
2019-04-02T00:58:58.110Z,49.7656,176.864,10,4.9,mb,,197,3.438,0.89,us,us2000k8y2,2019-04-02T01:29:47.040Z,"265km SSW of Kiska Volcano, Alaska",earthquake,11.7,2,0.054,109,reviewed,us,us
2019-04-02T00:57:02.003Z,66.3156,-157.5356,15,3,ml,,,,0.74,ak,ak019485s5e9,2019-04-02T01:05:58.040Z,"72km S of Kobuk, Alaska",earthquake,,3.2,,,automatic,ak,ak
2019-04-01T23:05:28.610Z,-7.2121,114.537,21.3,4.6,mb,,58,1.306,0.81,us,us2000k8wz,2019-04-02T01:49:57.502Z,"68km NNE of Sumberanyar, Indonesia",earthquake,3.4,5.4,0.102,29,reviewed,us,us
2019-04-01T21:23:09.150Z,19.0486,-67.0063,90,3.15,md,6,253,0.5905,0.27,pr,pr2019091012,2019-04-02T00:00:47.779Z,"60km N of Isabela, Puerto Rico",earthquake,4.69,8.36,0.25,6,reviewed,pr,pr
2019-04-01T19:52:14.195Z,66.2984,-156.9375,0.4,3,ml,,,,1.01,ak,ak01946tizo2,2019-04-01T20:05:33.536Z,"67km S of Kobuk, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-04-01T18:50:23.368Z,66.3062,-157.5239,15.4,3.5,ml,,,,0.91,ak,ak01946sx5ap,2019-04-01T19:02:04.460Z,"72km SSW of Kobuk, Alaska",earthquake,,2.7,,,automatic,ak,ak
2019-04-01T18:48:21.840Z,35.0916,-97.5888,5,2.7,mb_lg,,79,0.225,0.53,us,us2000k8se,2019-04-02T13:15:12.478Z,"8km SE of Blanchard, Oklahoma",earthquake,1.2,1.9,0.061,70,reviewed,us,us
2019-04-01T18:44:42.510Z,66.2209,-157.2077,0,2.5,ml,,,,0.76,ak,ak01946svwlx,2019-04-01T18:50:20.199Z,"77km S of Kobuk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-04-01T18:39:31.442Z,66.1915,-156.7349,24.4,2.5,ml,,,,0.71,ak,ak01946suyle,2019-04-01T18:50:19.800Z,"80km S of Kobuk, Alaska",earthquake,,3.6,,,automatic,ak,ak
2019-04-01T18:39:06.420Z,-18.1769,65.3709,10,6,mww,,130,9.549,1.01,us,us2000k8ri,2019-04-02T18:41:19.297Z,"264km NE of Port Mathurin, Mauritius",earthquake,11.6,1.8,0.06,27,reviewed,us,us
2019-04-01T17:59:46.374Z,66.2125,-157.3191,2.4,2.6,ml,,,,0.6,ak,ak01946sdp2e,2019-04-01T18:12:28.689Z,"79km SSW of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-04-01T15:44:03.500Z,50.7582,-171.2787,10,3.6,mb,,235,2.328,0.76,us,us2000k8ld,2019-04-01T16:08:51.040Z,"192km S of Amukta Island, Alaska",earthquake,7.1,2,0.125,16,reviewed,us,us
